X, Result
-2.0, -0.4161468365471423
-1.9, -0.32328956686350324
-1.8, -0.2272020946930872
-1.7, -0.1288444942955241
-1.6, -0.029199522301290328
-1.5, 0.07073720166770149
-1.4, 0.16996714290024043
-1.3, 0.26749882862458735
-1.2, 0.3623577544766737
-1.1, 0.4535961214255774
-1.0, 0.5403023058681398
-0.9, 0.6216099682706645
-0.8, 0.6967067093471653
-0.7, 0.7648421872844885
-0.6, 0.8253356149096782
-0.5, 0.8775825618903728
-0.4, 0.9210609940028851
-0.3, 0.955336489125606
-0.2, 0.9800665778412416
-0.1, 0.9950041652780257
0.0, 1.0
0.1, 0.9950041652780257
0.2, 0.9800665778412416
0.3, 0.955336489125606
0.4, 0.9210609940028851
0.5, 0.8775825618903728
0.6, 0.8253356149096782
0.7, 0.7648421872844885
0.8, 0.6967067093471653
0.9, 0.6216099682706645
1.0, 0.5403023058681398
1.1, 0.4535961214255774
1.2, 0.3623577544766737
1.3, 0.26749882862458735
1.4, 0.16996714290024043
1.5, 0.07073720166770149
1.6, -0.029199522301290328
1.7, -0.1288444942955241
1.8, -0.2272020946930872
1.9, -0.32328956686350324
2.0, -0.4161468365471423
